Site,s_graph_value,s_table_name
BENNB,N (tot kjel) {TKN} (ug/L),sensor_repository_02448
BENNB,N (tot) {TN pTN} (ug/L),sensor_repository_02436
BENNB,NH3-N/NH4-N (sol) (ug/L),sensor_repository_02442
BENNB,NO2-N (sol) (ug/L),sensor_repository_02451
BENNB,NO3-N (sol) (ug/L),sensor_repository_02454
BENNB,Null reading,sensor_repository_02503
BENNB,P (tot) {TP pTP} (ug/L),sensor_repository_02457
BENNB,pH,sensor_repository_02424
BENNB,Phaeophytin a (by vol) (mg/L),sensor_repository_02489
BENNB,Phycocyanin (insitu) {BGA-PC} (RFU),sensor_repository_02501
BENNB,Phycocyanin (insitu) {BGA-PC} (ug/L),sensor_repository_02498
BENNB,PO4-P (sol react) {SRP FRP} (ug/L),sensor_repository_02460
BENNB,Program Code,sensor_repository_02401
BENNB,Program Site Ref,sensor_repository_02400
BENNB,Salinity (ppt),sensor_repository_02410
BENNB,Sample Type,sensor_repository_02402
BENNB,Secchi depth (m),sensor_repository_02430
BENNB,Security Level,sensor_repository_02408
BENNB,SiO2 (sol react) (ug/L),sensor_repository_02469
BENNB,SiO2-Si (sol react) (ug/L),sensor_repository_02472
BENNB,Site Ref,sensor_repository_02399
BENNB,Suspended Solids (Total) {TSS} (mg/L),sensor_repository_02475
BENNB,Temperature (deg C),sensor_repository_02416
BENNB,Tide status,sensor_repository_02508
BENNB,Turbidity (NTU),sensor_repository_02427
BENNB,Water level (SLE) (m),sensor_repository_02510
BENNB,Wind direction (°),sensor_repository_02513
BENNB,Wind speed (knot),sensor_repository_02516
BICKB,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_02701
BICKB,Bottom Depth (m),sensor_repository_02671
BICKB,C (sol org) {DOC as NPOC} (ug/L),sensor_repository_02704
BICKB,Chlorophyll a (by vol) (mg/L),sensor_repository_02715
BICKB,Chlorophyll a (in situ) (RFU),sensor_repository_02733
BICKB,Chlorophyll a (in situ) (ug/L),sensor_repository_02730
BICKB,Chlorophyll b (by vol) (mg/L),sensor_repository_02718
BICKB,Chlorophyll c (by vol) (mg/L),sensor_repository_02721
BICKB,Chlorophyll sample volume (mL),sensor_repository_02724
BICKB,Cloud cover (%),sensor_repository_02743
BICKB,Collection Method,sensor_repository_02641
BICKB,Conductivity @ 25 deg C (uS/cm),sensor_repository_02651
BICKB,Depth (m),sensor_repository_02644
BICKB,Depth _s (m),sensor_repository_02643
BICKB,Depth measuring point,sensor_repository_02642
BICKB,Depth To (m),sensor_repository_02645
BICKB,Dissolved Oxygen (% saturation),sensor_repository_02660
BICKB,Dissolved Oxygen (mg/L),sensor_repository_02657
BICKB,Flow status,sensor_repository_02745
BICKB,N (sum sol org) {DON} (ug/L),sensor_repository_02683
BICKB,N (sum sol ox) {NOx-N TON} (ug/L),sensor_repository_02677
BICKB,N (tot kjel) {TKN} (ug/L),sensor_repository_02686
BICKB,N (tot) {TN pTN} (ug/L),sensor_repository_02674
BICKB,NH3-N/NH4-N (sol) (ug/L),sensor_repository_02680
BICKB,NO2-N (sol) (ug/L),sensor_repository_02689
